State,County,FIPS,Balancing Authority,Fleet Percentage
MT,SWEET GRASS,30097,NWMT,0.0037
MT,TETON,30099,NWMT,0.0069
MT,TREASURE,30103,NWMT,0.0034
MT,WHEATLAND,30107,NWMT,0.002
MT,YELLOWSTONE,30111,NWMT,0.1349
MT,BLAINE,30005,WAUW,0.0075
MT,CARTER,30011,WAUW,0.0018
MT,CUSTER,30017,WAUW,0.0111
MT,DANIELS,30019,WAUW,0.0021
MT,DAWSON,30021,WAUW,0.0087
MT,FALLON,30025,WAUW,0.0034
MT,FERGUS,30027,WAUW,0.0117
MT,GARFIELD,30033,WAUW,0.0015
MT,HILL,30041,WAUW,0.0148
MT,LIBERTY,30051,WAUW,0.0018
MT,MCCONE,30055,WAUW,0.0024
MT,PETROLEUM,30069,WAUW,0.0005
MT,PHILLIPS,30071,WAUW,0.0055
MT,POWDER RIVER,30075,WAUW,0.0019
MT,PRAIRIE,30079,WAUW,0.0014
MT,RICHLAND,30083,WAUW,0.0153
MT,ROOSEVELT,30085,WAUW,0.0101
MT,ROSEBUD,30087,WAUW,0.0083
MT,SHERIDAN,30091,WAUW,0.0046
MT,VALLEY,30105,WAUW,0.0081
MT,WIBAUX,30109,WAUW,0.0012
MT,TOOLE,30101,WWA,0.0047
NE,CHASE,31029,WACM,0.0029
NE,HAYES,31085,WACM,0.0005
NE,DUNDY,31057,WACM,0.0013
NE,HITCHCOCK,31087,WACM,0.0021
NV,CARSON CITY,32510,NEVP,0.0246
NV,CHURCHILL,32001,NEVP,0.0113
NV,CLARK,32003,NEVP,0.6773
NV,DOUGLAS,32005,NEVP,0.0241
NV,ELKO,32007,NEVP,0.0221
NV,ESMERALDA,32009,NEVP,0.0006
NV,EUREKA,32011,NEVP,0.001
NV,HUMBOLDT,32013,NEVP,0.008
NV,LANDER,32015,NEVP,0.0027
NV,LINCOLN,32017,NEVP,0.0022
NV,LYON,32019,NEVP,0.0255
NV,MINERAL,32021,NEVP,0.0021
NV,NYE,32023,NEVP,0.021
NV,PERSHING,32027,NEVP,0.0022
NV,STOREY,32029,NEVP,0.0022
NV,WASHOE,32031,NEVP,0.1689
NV,WHITE PINE,32033,NEVP,0.0041
NM,DONA ANA,35013,EPE,0.1025
NM,EDDY,35015,EPE,0.032
NM,OTERO,35035,EPE,0.0304
NM,BERNALILLO,35001,PNM,0.2881
NM,CATRON,35003,PNM,0.0024
NM,CHAVES,35005,PNM,0.0294
NM,CIBOLA,35006,PNM,0.0102
NM,COLFAX,35007,PNM,0.007
NM,CURRY,35009,PNM,0.0225
NM,DE BACA,35011,PNM,0.0011
NM,GRANT,35017,PNM,0.0156
NM,GUADALUPE,35019,PNM,0.0024
NM,HARDING,35021,PNM,0.0005
NM,HIDALGO,35023,PNM,0.0024
NM,LEA,35025,PNM,0.0366
NM,LINCOLN,35027,PNM,0.0117
NM,LOS ALAMOS,35028,PNM,0.0103
NM,LUNA,35029,PNM,0.0129
NM,MCKINLEY,35031,PNM,0.0272
NM,MORA,35033,PNM,0.003
NM,QUAY,35037,PNM,0.0049
NM,RIO ARRIBA,35039,PNM,0.0203
NM,ROOSEVELT,35041,PNM,0.0088
NM,SAN JUAN,35045,PNM,0.0581
NM,SAN MIGUEL,35047,PNM,0.0144
NM,SANDOVAL,35043,PNM,0.0706
NM,SANTA FE,35049,PNM,0.0888
NM,SIERRA,35051,PNM,0.0067
NM,SOCORRO,35053,PNM,0.0088
NM,TAOS,35055,PNM,0.0194
NM,TORRANCE,35057,PNM,0.0088
NM,UNION,35059,PNM,0.0022
NM,VALENCIA,35061,PNM,0.0401
OR,BAKER,41001,BPAT,0.0046
OR,BENTON,41003,BPAT,0.0197
OR,CLATSOP,41007,BPAT,0.0104
OR,COLUMBIA,41009,BPAT,0.0146
OR,CROOK,41013,BPAT,0.0071
OR,DESCHUTES,41017,BPAT,0.0526
OR,GILLIAM,41021,BPAT,0.0006
OR,GRANT,41023,BPAT,0.0022
OR,HARNEY,41025,BPAT,0.0022
OR,JEFFERSON,41031,BPAT,0.0063
OR,KLAMATH,41035,BPAT,0.018
OR,LAKE,41037,BPAT,0.0024
OR,LANE,41039,BPAT,0.0882
OR,LINCOLN,41041,BPAT,0.013
OR,LINN,41043,BPAT,0.0325
OR,MORROW,41049,BPAT,0.0034
OR,SHERMAN,41055,BPAT,0.0007
OR,TILLAMOOK,41057,BPAT,0.0078
OR,UMATILLA,41059,BPAT,0.0196
OR,UNION,41061,BPAT,0.0069
OR,WALLOWA,41063,BPAT,0.0023
OR,WASCO,41065,BPAT,0.0072
OR,WHEELER,41069,BPAT,0.0005
OR,MALHEUR,41045,IPCO,0.0075
OR,COOS,41011,PACW,0.017
OR,CURRY,41015,PACW,0.0069
OR,DOUGLAS,41019,PACW,0.0297
OR,JACKSON,41029,PACW,0.0549
OR,JOSEPHINE,41033,PACW,0.024
OR,CLACKAMAS,41005,PGE,0.1013
OR,HOOD RIVER,41027,PGE,0.0071
OR,MARION,41047,PGE,0.0829
OR,MULTNOMAH,41051,PGE,0.1681
OR,POLK,41053,PGE,0.0197
OR,WASHINGTON,41067,PGE,0.1322
OR,YAMHILL,41071,PGE,0.026
SD,LAWRENCE,46081,WACM,0.0297
SD,PENNINGTON,46103,WACM,0.1246
SD,CUSTER,46033,WACM,0.0115
SD,FALL RIVER,46047,WACM,0.0102
TX,EL PASO,48141,EPE,0.0286
TX,HUDSPETH,48229,EPE,0.0001
TX,CULBERSON,48109,EPE,0.0001
UT,BEAVER,49001,PACE,0.0028
UT,BOX ELDER,49003,PACE,0.0217
UT,CACHE,49005,PACE,0.0361
UT,CARBON,49007,PACE,0.008
UT,DAGGETT,49009,PACE,0.0005
UT,DAVIS,49011,PACE,0.1066
UT,DUCHESNE,49013,PACE,0.0083
UT,EMERY,49015,PACE,0.0042
UT,GARFIELD,49017,PACE,0.0019
UT,GRAND,49019,PACE,0.0043
UT,IRON,49021,PACE,0.0176
UT,JUAB,49023,PACE,0.0048
UT,KANE,49025,PACE,0.0031
UT,MILLARD,49027,PACE,0.0056
UT,MORGAN,49029,PACE,0.0048
UT,PIUTE,49031,PACE,0.0006
UT,RICH,49033,PACE,0.001
UT,SALT LAKE,49035,PACE,0.3641
UT,SAN JUAN,49037,PACE,0.004
UT,SANPETE,49039,PACE,0.0104
UT,SEVIER,49041,PACE,0.0089
UT,SUMMIT,49043,PACE,0.0191
UT,TOOELE,49045,PACE,0.025
UT,UINTAH,49047,PACE,0.013
UT,UTAH,49049,PACE,0.1661
UT,WASATCH,49051,PACE,0.0125
UT,WASHINGTON,49053,PACE,0.059
UT,WAYNE,49055,PACE,0.0013
UT,WEBER,49057,PACE,0.0848
WA,FERRY,53019,AVA,0.0012
WA,LINCOLN,53043,AVA,0.0021
WA,PEND OREILLE,53051,AVA,0.0023
WA,SPOKANE,53063,AVA,0.0664
WA,STEVENS,53065,AVA,0.0079
WA,WHITMAN,53075,AVA,0.0052
WA,ADAMS,53001,BPAT,0.0031
WA,ASOTIN,53003,BPAT,0.0029
WA,BENTON,53005,BPAT,0.0276
WA,CLALLAM,53009,BPAT,0.0114
WA,CLARK,53011,BPAT,0.0627
WA,COLUMBIA,53013,BPAT,0.0006
WA,COWLITZ,53015,BPAT,0.0157
WA,FRANKLIN,53021,BPAT,0.0131
WA,GARFIELD,53023,BPAT,0.0004
WA,GRAYS HARBOR,53027,BPAT,0.0109
WA,ISLAND,53029,PSEI,0.013
WA,JEFFERSON,53031,BPAT,0.0053
WA,KITSAP,53035,PSEI,0.0372
WA,KITTITAS,53037,PSEI,0.0066
WA,KLICKITAT,53039,BPAT,0.0037
WA,LEWIS,53041,BPAT,0.013
WA,MASON,53045,BPAT,0.0103
WA,PACIFIC,53049,BPAT,0.0035
WA,SAN JUAN,53055,PSEI,0.0031
WA,SKAMANIA,53059,BPAT,0.0018
WA,SNOHOMISH,53061,BPAT,0.1074
WA,THURSTON,53067,PSEI,0.0425
WA,WAHKIAKUM,53069,BPAT,0.0007
WA,WALLA WALLA,53071,BPAT,0.0079
WA,YAKIMA,53077,BPAT,0.0367
WA,CHELAN,53007,CHPD,0.012
WA,DOUGLAS,53017,DOPD,0.0058
WA,OKANOGAN,53047,DOPD,0.0069
WA,GRANT,53025,GCPD,0.0149
WA,SKAGIT,53057,PSEI,0.0203
WA,WHATCOM,53073,PSEI,0.0314
WA,KING,53033,SCL,0.1072
WA,KING,53033,PSEI,0.1609
WA,PIERCE,53053,PSEI,0.0801
WA,PIERCE,53053,TPWR,0.0343
WY,FREMONT,56013,PACE,0.0635
WY,LINCOLN,56023,PACE,0.0335
WY,PARK,56029,PACE,0.0545
WY,SUBLETTE,56035,PACE,0.0202
WY,SWEETWATER,56037,PACE,0.0756
WY,TETON,56039,PACE,0.044
WY,UINTA,56041,PACE,0.0369
WY,ALBANY,56001,WACM,0.0493
WY,BIG HORN,56003,WACM,0.0234
WY,CAMPBELL,56005,WACM,0.0826
WY,CARBON,56007,WACM,0.0278
WY,CONVERSE,56009,WACM,0.0262
WY,CROOK,56011,WACM,0.0148
WY,GOSHEN,56015,WACM,0.0222
WY,HOT SPRINGS,56017,WACM,0.0088
WY,JOHNSON,56019,WACM,0.0162
WY,LARAMIE,56021,WACM,0.1638
WY,NATRONA,56025,WACM,0.1334
WY,NIOBRARA,56027,WACM,0.005
WY,PLATTE,56031,WACM,0.0186
WY,SHERIDAN,56033,WACM,0.0519
WY,WASHAKIE,56043,WACM,0.0144
WY,WESTON,56045,WACM,0.0136
